# SYNTHETIC-NORTHSTAR-FIXTURE | Northstar Financial Group | RoleMatrix — the versioned Reference Source that expands a role to permissions (P-2) | generation 2026-09-01.1
entry,role,permission
1,AP_CLERK,CREATE_PAYMENT
1,AP_CLERK,VIEW_PAYMENT
2,LOAN_VIEWER,VIEW_LOAN
3,REPORT_READER,VIEW_REPORT
4,VENDOR_MAINTAINER,CREATE_VENDOR
4,VENDOR_MAINTAINER,VIEW_VENDOR
5,VENDOR_APPROVER,APPROVE_VENDOR
5,VENDOR_APPROVER,VIEW_VENDOR
6,PAYMENT_CREATOR,CREATE_PAYMENT
6,PAYMENT_CREATOR,VIEW_PAYMENT
7,PAYMENT_RELEASER,RELEASE_PAYMENT
7,PAYMENT_RELEASER,VIEW_PAYMENT
8,BRANCH_SUPERVISOR,CONFIGURE_LIMITS
8,BRANCH_SUPERVISOR,VIEW_LOAN
9,CREDIT_COMMITTEE,APPROVE_LOAN
9,CREDIT_COMMITTEE,VIEW_LOAN
10,AMBIGUOUS_DUAL,CREATE_PAYMENT
10,AMBIGUOUS_DUAL,VIEW_PAYMENT
11,AMBIGUOUS_DUAL,RELEASE_PAYMENT
11,AMBIGUOUS_DUAL,VIEW_PAYMENT
12,COLLECTIONS_AGENT,VIEW_LOAN
13,TREASURY_ANALYST,VIEW_PAYMENT
14,SERVICING_CLERK,VIEW_LOAN
15,RISK_ANALYST,VIEW_REPORT
16,RISK_VIEWER,VIEW_REPORT
17,OPS_CLERK,VIEW_LOAN
18,COMPLIANCE_REVIEWER,VIEW_REPORT
19,FINANCE_CLERK,VIEW_PAYMENT
20,LOAN_OFFICER,CREATE_LOAN
20,LOAN_OFFICER,VIEW_LOAN
21,LOAN_ADMIN,CONFIGURE_LIMITS
21,LOAN_ADMIN,VIEW_LOAN
22,SYSTEM_ADMIN,MANAGE_USERS
22,SYSTEM_ADMIN,VIEW_REPORT
23,OPS_GENERIC,VIEW_LOAN
24,XR_TEMP,VIEW_LOAN
